,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares,type,type2
0,금융회사,한국투자금융지주,동일인측,동일인,동일인,김남구,11534636,20.70,-,-,11534636.0,18.73,61584243.0,0.1872984945191256,0,0
1,금융회사,한국투자금융지주,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,61584243.0,,50,50
2,금융회사,한국투자금융지주,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,61584243.0,,50,50
3,금융회사,한국투자금융지주,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,61584243.0,,50,50
4,금융회사,한국투자금융지주,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,61584243.0,,50,50
5,금융회사,한국투자금융지주,동일인측,친족,친족 합계,/,-,-,-,-,,-,61584243.0,,0,0
6,금융회사,한국투자금융지주,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,61584243.0,,50,0
7,금융회사,한국투자금융지주,동일인측,등기된 임원,등기된 임원,이강행,3000,0.01,-,-,3000.0,0.00,61584243.0,4.871375945954227e-05,50,0
8,금융회사,한국투자금융지주,동일인측,자기주식,자기주식,한국투자금융지주,2987479,5.36,200000,3.41,3187479.0,5.18,61584243.0,0.05175802842944745,50,0
9,금융회사,한국투자금융지주,동일인측,계열회사(국내+해외),계열회사(국내+해외),-,-,-,-,-,,-,61584243.0,,1,1
10,금융회사,한국투자금융지주,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,61584243.0,,-1,-1
11,금융회사,한국투자금융지주,동일인측,동일인측 합계,동일인측 합계,/,14525115,26.07,200000,3.41,14725115.0,23.91,61584243.0,0.2391052367080326,50,50
12,금융회사,한국투자금융지주,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,,-,61584243.0,,99,99
13,금융회사,한국투자금융지주,기타주주,기타,기타,/,41200877,73.93,5658251,96.59,46859128.0,76.09,61584243.0,0.7608947632919674,99,99
14,금융회사,한국투자금융지주,총 계,총 계,총 계,/,55725992,100.00,5858251,100.00,61584243.0,100.00,61584243.0,1.0,50,50
15,금융회사,한국투자증권,동일인측,동일인,동일인,-,-,-,-,-,,-,35163340.0,,0,0
16,금융회사,한국투자증권,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,35163340.0,,50,50
17,금융회사,한국투자증권,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,35163340.0,,50,50
18,금융회사,한국투자증권,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,35163340.0,,50,50
19,금융회사,한국투자증권,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,35163340.0,,50,50
20,금융회사,한국투자증권,동일인측,친족,친족 합계,/,-,-,-,-,,-,35163340.0,,0,0
21,금융회사,한국투자증권,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,35163340.0,,50,0
22,금융회사,한국투자증권,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,35163340.0,,50,0
23,금융회사,한국투자증권,동일인측,자기주식,자기주식,-,-,-,-,-,,-,35163340.0,,50,0
24,금융회사,한국투자증권,동일인측,계열회사(국내+해외),계열회사(국내+해외),한국투자금융지주,35163340,100.00,-,-,35163340.0,100.00,35163340.0,1.0,1,1
25,금융회사,한국투자증권,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,35163340.0,,-1,-1
26,금융회사,한국투자증권,동일인측,동일인측 합계,동일인측 합계,/,35163340,100.00,-,-,35163340.0,100.00,35163340.0,1.0,50,50
27,금융회사,한국투자증권,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,,-,35163340.0,,99,99
28,금융회사,한국투자증권,기타주주,기타,기타,/,-,-,-,-,,-,35163340.0,,99,99
29,금융회사,한국투자증권,총 계,총 계,총 계,/,35163340,100.00,-,-,35163340.0,100.00,35163340.0,1.0,50,50
30,금융회사,한국투자신탁운용,동일인측,동일인,동일인,-,-,-,-,-,,-,13200000.0,,0,0
31,금융회사,한국투자신탁운용,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,13200000.0,,50,50
32,금융회사,한국투자신탁운용,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,13200000.0,,50,50
33,금융회사,한국투자신탁운용,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,13200000.0,,50,50
34,금융회사,한국투자신탁운용,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,13200000.0,,50,50
